Design,Sample,Recipe,Area,Delay,QoR
simple_spi_orig,113,"st; b; rs; f; b; rfz; b; rs; f; rfz; f; rs; rw; f; st; rf; rwz; st; rfz; rwz;",555.04,185.18,102675
simple_spi_orig,114,"st; rs; rs; rs; rwz; b; f; b; b; st; rs; rwz; b; st; rfz; f; st; rwz; rs; rw;",540.25,184.83,99360
simple_spi_orig,115,"b; f; rwz; rwz; rf; rwz; rwz; rs; b; st; rf; st; rs; b; rw; b; rf; st; rs; rw;",542.12,199.42,107858
simple_spi_orig,116,"b; st; st; rfz; rwz; rfz; f; rw; f; b; f; rwz; b; st; rs; f; f; f; b; rfz;",561.28,201.86,112761
simple_spi_orig,117,"b; st; rwz; st; rw; rs; rw; st; rw; st; rs; rf; b; rs; rs; st; b; rf; rw; rs;",539.50,205.69,110495
simple_spi_orig,118,"b; f; rs; b; st; rs; st; rs; rwz; rfz; rf; rf; st; f; rfz; rwz; rs; st; rfz; rwz;",534.62,182.04,97188
simple_spi_orig,119,"st; b; rfz; rwz; f; rs; st; f; f; rfz; b; rwz; rfz; rw; rfz; rw; b; rfz; rwz; rfz;",568.69,200.52,113600
simple_spi_orig,120,"st; rwz; rwz; f; b; rfz; f; rw; st; f; rw; b; b; rfz; rfz; rs; rs; rf; rf; st;",570.81,193.83,110010
simple_spi_orig,121,"st; rf; rfz; rw; f; rs; rs; rfz; rfz; st; rfz; rw; rfz; rwz; rf; rfz; f; rw; st; st;",547.27,200.18,109400
simple_spi_orig,122,"st; b; rs; rs; f; rfz; rwz; st; rs; f; st; rf; st; rfz; rf; st; rf; rw; f; rfz;",548.19,193.18,105764
simple_spi_orig,123,"b; b; rwz; b; f; rs; st; st; rw; rs; rs; rf; rf; rs; rfz; rfz; rwz; rf; f; st;",551.84,184.83,101384
simple_spi_orig,124,"b; rw; st; rfz; rf; rf; rfz; rwz; st; f; rs; rfz; rfz; st; rw; rs; rs; st; rfz; rs;",570.41,184.83,104880
simple_spi_orig,125,"st; rwz; b; rs; rfz; f; st; b; f; f; rwz; st; rfz; st; st; rfz; b; b; rwz; f;",547.96,184.14,100648
simple_spi_orig,126,"st; b; rf; rfz; rw; rfz; rf; rw; rf; rfz; st; rs; rwz; rw; rw; b; rf; rw; rf; f;",529.23,202.19,106858
simple_spi_orig,127,"st; rs; rfz; rw; rf; f; st; rf; rs; rs; rf; f; rw; rf; st; st; rf; rfz; rw; b;",556.57,185.97,102860
simple_spi_orig,128,"b; f; b; f; f; rfz; rf; rf; rf; rfz; rfz; rw; rwz; st; rf; b; b; rs; rwz; b;",560.35,180.87,100800
simple_spi_orig,129,"st; rs; rwz; rfz; rw; rf; st; rwz; st; f; rfz; f; b; f; f; st; b; f; b; rf;",567.22,183.82,103761
simple_spi_orig,130,"st; rfz; rf; rfz; rf; rs; f; rs; rf; rwz; rfz; rs; rw; rf; rwz; rs; f; rfz; f; st;",557.41,182.02,101374
