Design,Recipe_Number,Final_Area,Final_Delay,Final_QoR
simple_spi_orig.bench,408,539.42,199.15,107261
simple_spi_orig.bench,409,547.59,189.19,103383
simple_spi_orig.bench,410,566.35,185.97,104710
simple_spi_orig.bench,411,569.78,182.65,103558
simple_spi_orig.bench,412,537.58,202.19,108474
simple_spi_orig.bench,413,569.01,185.97,105265
simple_spi_orig.bench,414,561.04,200.52,112200
simple_spi_orig.bench,415,570.39,185.97,105450
simple_spi_orig.bench,416,529.98,201.86,106329
simple_spi_orig.bench,417,574.51,185.18,106190
simple_spi_orig.bench,418,554.51,184.34,101936
simple_spi_orig.bench,419,549.39,201.86,110349
simple_spi_orig.bench,420,573.47,193.83,110589
simple_spi_orig.bench,421,566.21,190.25,107540
simple_spi_orig.bench,422,551.62,184.42,101384
simple_spi_orig.bench,423,568.90,183.29,103944
simple_spi_orig.bench,424,530.05,195.52,103350
simple_spi_orig.bench,425,539.51,187.91,100793
simple_spi_orig.bench,426,551.57,201.86,110751
simple_spi_orig.bench,427,557.70,183.82,101931
simple_spi_orig.bench,428,555.48,201.86,111555
simple_spi_orig.bench,429,534.86,178.94,95052
simple_spi_orig.bench,430,553.38,190.78,105070
simple_spi_orig.bench,431,534.37,185.29,98790
simple_spi_orig.bench,432,535.34,185.18,98975
simple_spi_orig.bench,433,537.49,182.53,97734
simple_spi_orig.bench,434,553.96,183.29,101199
simple_spi_orig.bench,435,553.42,193.03,106729
simple_spi_orig.bench,436,544.47,187.89,101728
simple_spi_orig.bench,437,555.00,183.29,101565
simple_spi_orig.bench,438,542.58,196.16,106232
simple_spi_orig.bench,439,531.11,200.52,106200
simple_spi_orig.bench,440,569.59,184.87,104696
simple_spi_orig.bench,441,570.86,180.59,102600
simple_spi_orig.bench,442,539.25,191.40,102949
simple_spi_orig.bench,443,535.56,204.98,109140
simple_spi_orig.bench,444,553.43,193.50,106729
simple_spi_orig.bench,445,523.94,204.98,106692
simple_spi_orig.bench,446,568.55,189.19,107352
simple_spi_orig.bench,447,563.95,185.97,104155
simple_spi_orig.bench,448,517.88,201.86,103917
simple_spi_orig.bench,449,539.92,183.29,98637
simple_spi_orig.bench,450,556.50,185.97,102860
simple_spi_orig.bench,451,550.22,201.86,110550
simple_spi_orig.bench,452,532.93,200.52,106400
simple_spi_orig.bench,453,544.20,193.18,104992
simple_spi_orig.bench,454,549.60,193.83,105957
simple_spi_orig.bench,455,549.51,190.25,104310
simple_spi_orig.bench,456,552.14,177.89,97704
simple_spi_orig.bench,457,548.91,203.04,111244
simple_spi_orig.bench,458,519.43,201.86,104319
simple_spi_orig.bench,459,575.60,190.26,109250
simple_spi_orig.bench,460,564.61,193.83,108852
simple_spi_orig.bench,461,534.60,186.94,99324
simple_spi_orig.bench,462,536.96,185.97,99160
simple_spi_orig.bench,463,574.65,184.87,105616
simple_spi_orig.bench,464,545.62,185.97,100825
simple_spi_orig.bench,465,557.41,193.50,107501
simple_spi_orig.bench,466,527.38,204.98,107508
simple_spi_orig.bench,467,556.88,184.34,102304
simple_spi_orig.bench,468,539.45,195.74,105105
simple_spi_orig.bench,469,533.48,200.52,106600
simple_spi_orig.bench,470,554.20,203.11,112462
simple_spi_orig.bench,471,544.11,193.95,104992
simple_spi_orig.bench,472,546.39,184.11,100464
simple_spi_orig.bench,473,540.15,201.86,108540
simple_spi_orig.bench,474,560.85,193.50,108080
simple_spi_orig.bench,475,553.85,201.86,111153
simple_spi_orig.bench,476,539.27,191.20,102949
simple_spi_orig.bench,477,547.01,201.86,109947
simple_spi_orig.bench,478,541.57,204.98,110364
simple_spi_orig.bench,479,549.72,193.50,105957
simple_spi_orig.bench,480,552.34,193.19,106536
simple_spi_orig.bench,481,558.37,185.97,103230
simple_spi_orig.bench,482,564.05,184.11,103776
simple_spi_orig.bench,483,551.57,194.71,106894
simple_spi_orig.bench,484,540.32,190.55,102600
simple_spi_orig.bench,485,538.84,185.05,99530
simple_spi_orig.bench,486,560.90,185.43,103600
simple_spi_orig.bench,487,572.26,203.11,116116
simple_spi_orig.bench,488,540.78,181.94,97740
simple_spi_orig.bench,489,558.66,194.45,108252
simple_spi_orig.bench,490,585.88,182.09,106470
simple_spi_orig.bench,491,547.84,184.14,100648
simple_spi_orig.bench,492,545.93,184.64,100280
simple_spi_orig.bench,493,562.38,182.96,102284
simple_spi_orig.bench,494,539.06,203.04,109417
simple_spi_orig.bench,495,543.01,182.02,98826
simple_spi_orig.bench,496,564.05,193.83,108852
simple_spi_orig.bench,497,560.54,185.18,103600
simple_spi_orig.bench,498,539.27,191.40,102949
simple_spi_orig.bench,499,565.49,185.97,104525
simple_spi_orig.bench,500,543.45,189.99,102627
