Design,Recipe_Number,Final_Area,Final_Delay,Final_QoR
pci_orig.bench,163,11791.32,470.31,5541770
pci_orig.bench,164,11385.61,621.64,7070085
pci_orig.bench,165,11446.02,527.40,6032042
pci_orig.bench,166,11708.42,436.04,5104688
pci_orig.bench,167,11766.44,437.62,5141742
pci_orig.bench,168,11202.09,636.60,7124472
pci_orig.bench,169,11477.39,529.26,6071333
pci_orig.bench,170,11518.20,634.32,7302412
pci_orig.bench,171,11570.14,478.28,5530460
pci_orig.bench,172,11784.77,429.57,5055336
pci_orig.bench,173,11585.72,415.40,4807775
pci_orig.bench,174,11743.79,473.72,5554439
pci_orig.bench,175,11585.55,508.94,5885180
pci_orig.bench,176,11737.05,407.39,4776959
pci_orig.bench,177,11535.66,601.50,6932535
pci_orig.bench,178,11646.92,403.09,4693338
pci_orig.bench,179,11815.52,418.67,4938670
pci_orig.bench,180,11933.83,423.06,5047659
pci_orig.bench,181,11890.18,407.20,4839230
pci_orig.bench,182,11399.80,626.30,7135774
pci_orig.bench,183,11342.44,539.11,6113338
pci_orig.bench,184,11689.58,478.28,5587342
pci_orig.bench,185,11776.40,429.19,5051904
pci_orig.bench,186,11674.02,470.31,5486780
pci_orig.bench,187,11353.11,631.67,7163743
pci_orig.bench,188,11726.47,437.15,5124262
pci_orig.bench,189,11437.54,632.02,7228184
pci_orig.bench,190,11572.82,433.34,5010676
pci_orig.bench,191,11711.82,488.90,5714968
pci_orig.bench,192,11957.97,432.55,5165424
pci_orig.bench,193,11391.93,626.71,7130766
pci_orig.bench,194,11655.93,411.63,4790205
pci_orig.bench,195,11790.97,444.22,5234760
pci_orig.bench,196,11969.34,423.13,5062887
pci_orig.bench,197,11441.03,549.46,6281109
pci_orig.bench,198,11445.18,566.15,6477870
pci_orig.bench,199,11691.19,460.93,5377860
pci_orig.bench,200,11353.13,454.24,5154262
pci_orig.bench,201,11322.51,421.08,4766562
pci_orig.bench,202,11616.57,451.79,5238816
pci_orig.bench,203,12361.52,405.55,5006205
pci_orig.bench,204,11961.83,470.31,5621670
pci_orig.bench,205,11760.42,439.91,5162640
pci_orig.bench,206,11537.52,422.62,4868614
pci_orig.bench,207,11400.28,513.85,5848200
pci_orig.bench,208,11738.64,433.02,5082554
pci_orig.bench,209,11462.24,540.91,6189480
pci_orig.bench,210,11777.46,425.25,5005225
pci_orig.bench,211,11762.57,417.65,4904754
pci_orig.bench,212,11816.53,412.25,4868192
pci_orig.bench,213,11684.86,415.20,4848860
pci_orig.bench,214,11697.41,435.98,5088195
pci_orig.bench,215,11146.35,623.01,6943958
pci_orig.bench,216,11567.48,435.12,5031645
pci_orig.bench,217,11748.54,417.10,4898916
pci_orig.bench,218,11589.95,465.19,5388885
pci_orig.bench,219,11802.83,420.46,4956840
pci_orig.bench,220,11646.78,441.18,5135886
pci_orig.bench,221,11489.12,425.41,4882825
pci_orig.bench,222,11949.17,414.47,4946886
